categoria,conteudo
Sobre a empresa,A NeoTech Solutions é uma empresa de tecnologia fundada em 2012 em São Paulo. Especializada em soluções de inteligência artificial e automação empresarial.
Missão,"Transformar a maneira como empresas operam por meio da automação inteligente, promovendo inovação e eficiência."
Visão,Ser líder em soluções de IA na América Latina até 2030.
Valores,"Inovação, transparência, foco no cliente, ética e sustentabilidade."
Produtos,1. Oraculum IA – assistente virtual inteligente para empresas; 2. AutoFlux – sistema de automação de processos internos; 3. VisionAI – ferramenta de reconhecimento de imagem e vídeo.
Clientes,"Mais de 200 clientes no Brasil e América Latina, incluindo bancos, hospitais, universidades e startups."
Histórico,Começou como uma startup incubada na USP e cresceu rapidamente após parceria com a Microsoft em 2015. Expandiu para o Chile e México em 2018.
Equipe,"Mais de 150 colaboradores, incluindo engenheiros de software, cientistas de dados, designers de UX e especialistas em negócios."
Projetos de destaque,Desenvolvimento do sistema de triagem automática para hospitais públicos em SP e implementação do chatbot jurídico do TJ-SP.
Tecnologias utilizadas,"Python, TensorFlow, GPT, FastAPI, Docker, Kubernetes, Azure."
Responsabilidade social,"Programa Tech4Good, que capacita jovens de comunidades carentes em programação e IA."
Faturamento anual,"R$ 78 milhões em 2024, com crescimento médio de 30% ao ano desde 2020."
